start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束cipher
30000	31560	我有說我是翠翠嗎
31560	32060	沒有
32060	34140	為什麼可以錯過我
34140	35560	好 我是翠翠
35560	41160	本集節目呢 有好味營養師的新產品寶米花贊助播出
41160	41780	開收
41780	46560	我們這個產品也是隔了好久之後才生出來的
46560	48020	開發了非常久的時間
48020	51340	沒錯 我個人非常喜歡這次出的寶米花
51340	53140	好 先來簡單的介紹一下
53140	55620	這個寶米花呢 就是用天然的穀物
55620	57680	然後用高壓氧化是膨發的
57680	87680	然後
87680	117680	
117680	119280	我們辦公室一致通過
119280	122040	就是很香 但不會超甜 也不會苦
122040	123080	就很好吃
123080	123720	我超喜歡黑糖
123720	124880	因為我們要控制熱量
124880	125480	對
125480	126880	糖本就太多了
126880	129560	對 然後就是很方便 就是小包裝
129560	132240	所以每一袋大概都是控制在60大卡左右
132240	133880	那大概就是有時候嘴饞
133880	136480	有時候嘴饞就真的 你不是肚子餓你知道嗎
136480	138080	你是想要吃一點東西
138080	140880	覺得你有吃到什麼 有滿足感就可以了
140880	142120	就推薦大家
142120	144400	宵夜如果你真的嘴饞的時候可以吃一包
144400	146240	60大卡 可以
146240	148240	我是覺得最近一次
148240	150000	覺得說還真的是不錯
150000	150840	是因為
150840	151880	所以說好像這個週末
151880	154720	不知道去哪裡買那種手工的冰棒回來
154720	155560	對
155560	156480	純水果的冰棒
156480	158360	我就吃了一個芒果口味的
158360	160880	我超想半天覺得真是甜到靠北
160880	161680	是甜到不行
161680	162440	冰棒咩
162440	163840	吃不下去了這樣
163840	165360	然後我就冰棒已經打開了
165360	166240	吃了一半
166240	167960	我就拿個碗把它裝起來
167960	169280	拿個碗 幹嘛
169280	170520	再把它冰回冷凍庫
170520	171840	然後呢 就是我吃不下去了
171840	173200	但是我不能把它亂丟
173200	174560	那那一根還在冷凍庫嗎
174560	175280	還在冷凍庫
175280	178120	這表達抗議的方式太極端了吧
178120	179560	對啊
179560	180680	然後那時候我就覺得很膩
180680	182160	整個嘴巴膩到不行
182160	183280	喔 這時候我就
183280	185680	突然很想要吃那個爆米花
185680	187880	我就去開了一包麻辣口味的
187880	188480	然後
188480	189920	因為我們不想要高鈉
189920	191680	然後也不想要糖太多
191680	193480	所以我們味道都是比較清淡一點的
193480	194840	就是清爽的比較多的
194840	195680	清爽系的
195680	196720	吃了一包麻辣之後
196720	199960	我覺得那個膩感就被舒緩
199960	201320	而且我覺得我們麻辣就是
201320	203520	真的是開發上一段很多困難
203520	204680	麻辣搞很久才成功嗎
204680	204920	麻辣搞很久才成功嗎
204920	205560	成功欸
205560	208720	因為就是做那種調味的那種廠商
208720	211000	他們都很習慣麻辣的東西
211000	212400	反正就是加那個
212400	213160	一些味精什麼
213160	213960	加到爆就對了
213960	215800	一大堆就是上面寫什麼瓢瓴
215800	216960	什麼瓢瓴那種東西
216960	218120	加爆就對了
218120	218800	然後我們就跟他說
218800	219920	豆不要什麼的
219920	220680	他們就跟我說
220680	222160	不可能
222160	223160	沒有味道
223160	224480	你豆不加絕對沒有味道
224480	225680	對 他說就會直接有辣
225680	226680	你一定會不喜歡
226680	227560	他又來抱怨
227560	228720	對 有要改
228720	229720	他說豆不做這樣子
229720	231520	他說不管你就只加辣椒粉
231520	232520	辣椒 花椒 胡椒
232520	233240	給我們
233240	234440	就這 對
234440	234880	然後我們就
234880	235640	回來試吃
235640	236400	明明就有味道
236400	237120	對啊
237120	238120	明明就蠻香的
238120	240120	欸 花椒本人超香的欸
240120	240440	對啊
240440	241600	我很喜歡那個味道欸
241600	242560	真的是 那些
242560	243280	嘈雜額外
243280	245040	老闆
245040	247080	舌頭都壞掉了
247080	247880	沒錯
247880	249240	反正我們這次就是
249240	250120	既清爽
250120	251240	然後又很輕便
251240	252280	馬上就可以吃到的
252280	253760	一個輕巧包的感覺
253760	254000	好
254000	254960	口味豐富
254960	255400	對
255400	256320	很適合解饞的
256320	256640	沒錯
256640	257480	零食這樣子
257480	258480	好 推薦大家
258480	259640	現在已經在我們的
259640	261800	好胃營養師的官網上面上架囉
261800	262960	大家可以進去看看喔
262960	263760	然後同時
263760	264280	Yes
264280	264400	因為他是
264400	264840	因為他是
264840	265920	就是乾的嘛
265920	267440	很怕大家口渴
267440	267920	對
267920	268560	所以
268560	269920	大概到這個
269920	270880	一個禮拜的時間
270880	271360	沒錯
271360	272400	好好裹乾水
272400	273000	沒錯啦
273000	274080	你還是另外裹乾水的產品
274080	275400	就是買一送一
275400	276560	跟你配水喝
276560	277280	對 這樣子
277280	277920	多喝水
277920	279560	多喝水
279560	280280	好
280280	281240	今天
281240	281560	是這樣
281560	282800	就是我今天
282800	284960	看了一下我的一些紀錄
284960	286320	這我每次錄Podcast之前
286320	288080	我都想到要講什麼
288080	289800	我會稍微寫一下這樣子
289800	291400	然後我就發現我有一個
291400	292600	記事本
292600	293840	有一頁
293840	294360	這個
294360	295440	Podcast
295440	296560	9月27號
296560	297160	嗯
297160	297840	好
297840	299120	那一集我好像
299120	301080	想要做一個就是
301080	302440	像之前的那種
302440	304440	就是我的一些生活觀察的那個感覺
304440	305640	喔 五件小破失
305640	306760	欸 類似這樣子
306760	307920	所以我就記了一些下來
307920	308400	嗯
308400	309600	但是好像呢
309600	310520	湊不到五件
310520	311040	喔
311040	311880	的這個感覺
311880	312280	嗯
312280	313080	所以我就放著了
313080	313840	就擱置了
313840	314360	就擱置
314360	315880	現在可能就聊別的
315880	316440	嘿嘿
316440	317480	啊 9月27號嘛
317480	318720	現在已經一個月了
318720	319640	欸 已經過一個月了
319640	320040	嘿
320040	321560	我重新點開這一頁筆記本
321560	322160	嗯
322160	323960	我已經看不懂我當初記的是什麼東西
324360	325240	哈哈哈
325240	326800	那有什麼意義
326800	327840	我想說
327840	328760	大家來討論一下
328760	329160	嗯
329160	329560	我到底
329560	331320	回到我們上禮拜那個主題欸
331320	331560	欸
331560	333080	就是你初老的部分了
333080	333840	喔 初老
333840	335720	對啊 你下次筆記記長一點好不好
335720	337440	對 我們試試分析看看
337440	337840	欸
337840	338680	我一個月前
338680	339200	欸
339200	340360	我到底想要講什麼
340360	340520	好
