start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束cipher
30000	32760	我們的好味貓凍乾上架了 沒錯
32760	35320	用心計較產出的好味貓凍乾
35320	36520	其實我們這次這個零食
36520	39320	我們家所有的貓咪都非常喜歡 對
39320	43120	蛋捲特別的 激動 瘋狂 失狂 對
43120	45720	所以我們那時候要拍影片的時候惡化不詳
45720	48240	就是讓蛋捲來協助我的拍攝 沒錯
48240	51200	還拍了很久 後來蛋捲吃得很飽 對
51200	52640	那我們這凍乾呢
52640	55960	其實我們之前有在我們的社團做過一次試吃的活動
55960	59480	對 其實蠻久了 大概快半年了吧 對
59480	62440	然後試吃的時候反響就非常的好 對
62440	65880	然後時不時大概每個禮拜都會有一到兩則來問我們說
65880	67880	欸 之前試吃的什麼時候要上架
67880	71280	那個傳說中的 嘿 傳說中的 欸 傳說中的凍乾 對
71280	74720	我們試吃的時候呢 總共大概有200多隻貓
74720	76440	對 200多隻 參與我們的試吃
76440	79360	然後有96%的貓呢 都很喜歡
79360	81200	都表示瘋狂 都有吃這樣子 對 沒錯
81200	83400	然後問卷裡面有讓大家填
83400	86520	就覺得自己家的貓是不是算挑死貓 對
86520	88680	結果也得到一個不錯的數據
88680	89320	我覺得大概有
89320	90840	80%的人 嘿
90840	92840	都覺得自己家的貓是挑死貓
92840	94720	你看貓有多難搞就好 對
94720	97760	所以說我們200多隻貓嘛對不對 嗯嗯嗯
97760	100280	其中有170隻貓 都是挑死貓
100280	102800	所以是對牠的主人覺得牠是挑死貓的 沒錯
102800	106880	這170隻裡面也有96%以上的貓
106880	109040	是喜歡吃我們的凍乾 欸 覺得不錯 沒錯
109040	110720	所以對挑 信心大增 對
110720	112800	對挑嘴貓一樣很有吸引力 嗯嗯嗯
112800	115400	好好 很棒 欸 大家喜歡可以試試看
115400	117840	是不是聽了就很有信心 沒錯
117840	118520	好 所以呢
118520	121280	我們就會把我們這個好餵貓凍缸的商品連結
121280	122640	放在我們的資訊欄裡面
122640	125360	大家一定要去點來看 好吧
125360	126920	今天啊 嗯
126920	130200	是我們要開啟一個偉大計畫的第一天
130200	132800	有太多偉大計畫了 有人通知我嗎 有人通知我
132800	134560	是關於我們Podcast的偉大的計畫
134560	135560	哦 好
135560	136640	我們一直以來呢
136640	137720	都一直被Podcast
137720	140480	其實這個禮拜到底要聊什麼的困擾 對 沒錯
140480	142040	為什麼會這樣子呢 為什麼
142040	144600	是因為我們剛開始錄Podcast的時候
144600	146840	嗯 好 我們這個
146840	148120	太不得了了
