start	end	text
0	8100	哈囉 大家好 歡迎來到好味小姐開束服
8100	9900	我還你原型 我是翠翠
9900	11200	大家好 我是錦麗詩達段
11200	13100	大家好 我是林聖芬
13100	14200	今天我們在
14200	16100	哈哈哈哈
16100	16700	怎樣啦
16700	19600	現在大叫戰爭
19600	22000	來來來 你說不好意思 達段你也不好意思
22000	25400	好 就是我們非常榮幸
25400	29800	獲得第三屆左宗獎好聲音獎的肯定
29800	32500	所以今天在我們開始講這個業配內容之前
32500	34100	我們要先進一段警語
34100	35600	警語 什麼警語
35600	37900	我怕很多就是新的聽眾進來
37900	39600	想說靠邀得獎
39600	41200	什麼優質頻道
41200	42500	抱著很多期待
42500	44500	希望可以吸收到很多的心知
44500	47100	然後得到很多有意聞的資訊
47100	49100	不會喔
49100	50200	大失所望
50200	52600	然後就流差評造成我們的分數變低
52600	53700	所以我們先進一段警語
53700	54300	好
54300	56600	我們跟大家先稍微介紹一下我們的
56600	58800	頻道的一些屬性
58800	59500	這樣子
59500	61100	首先我們這個節目
61100	62300	就是我們不理財的
62300	63000	對 不理財
63000	63400	不理財
63400	66500	我們節目唯一跟錢出現有最直接相關的
66500	67700	是我跟翠翠花了
67700	70900	超額的交通費去九份玩的故事
70900	72000	沒有人去九份
72000	73400	光交通費花這麼多錢的
73400	74100	沒錯啦
74100	74800	對啦
74800	76400	然後我們頻道
76400	77900	我原本想說沒有什麼知識
77900	78600	怎麼會
78600	80400	對 後來我發現說其實沒有
80400	82200	我們頻道的知識量滿充足的
82200	84000	對啊 還有傑亞小隊長受訪耶
84000	84700	對對對
84700	85100	對啊
85100	87000	所以說我們頻道的知識量滿多
87000	88400	但是我們的那個
88400	88800	怎麼說
88800	91100	專精的項目比較集中
91100	93400	我們就是比較專精在這個
93400	96300	牙齒保健跟
96300	98800	消化刀系統上的
98800	100800	的這些知識上面
100800	103000	如果你有想補充這方面的
103000	103600	知識的話
103600	104500	訊息
104500	105700	我們頻道很適合你
105700	106700	還不錯
106700	109800	然後在帕克上面很多很有國際觀的頻道
109800	111100	國際新聞等等的
111100	112000	對對對
112000	115400	我們這個頻道的國際觀的部分
115400	117700	最北到九份
117700	118600	最南到高雄
118800	121900	最東到竹山
121900	124600	大部分的時間都集中在南屯區
124600	127400	烏日附近
127400	128500	這一帶
128500	130000	海外的部分
130000	131500	最遠到金門
131500	132500	很遠好不好
132500	134100	坐飛機要一個小時耶
134100	135200	對啊
135200	136500	超遠 都可以到沖繩
136500	137300	超有期待
137300	137700	對啊
137700	139300	怎麼覺得誤解更深了
139300	141600	完全知道他的頭緒到底是在幹嘛的
141600	142500	是重申一次
142500	144700	讓我們的舊語新知複習一下
144700	145600	對對對
145600	148000	然後還有我們在歷史的部分
148000	148800	稍微有提到過一段時間
148800	149800	有一點
149800	150800	我們有聊過這個
150800	153700	中秋節烤肉的歷史
153700	154100	大概就是這樣
154100	155800	很深刻的討論好不好
155800	156100	大概就是這樣
156100	157400	我們都挑一些最實用的啦
157400	157900	對啊
157900	158900	挑一些大家用得到的東西
158900	160100	跟你的生活不過接近的
160100	161000	我們是不會講的
161000	163500	對對對
163500	164400	好 就這樣
164400	165800	消毒完畢
165800	167000	可以開始進業配
167000	168500	各位新朋友們來吧
168500	169400	本集節目由
169400	170700	全家愛多一點
170700	171700	讓浪薄一點
171700	174300	點數做公益活動贊助播出
174300	176100	今年因為受到疫情的影響
176100	176800	有許多公益團體都遇到了募款的困境
176800	177300	有許多公益團體都遇到了募款的困境
177300	178900	有許多公益團體都遇到了募款的困境
178900	182000	那包含平常最照顧浪浪的貓園啊狗園
182000	184100	也面臨了斷糧的危機
184100	186100	關心浪浪議題的全家便利商店
186100	189100	為了幫助貓園狗園的孩子們可以吃飽
189100	190800	從11月17日起
190800	193300	與台灣動物緊急救援小組合作
193300	197200	發起愛多一點讓浪薄一點的點數做公益活動
197200	198800	那想要幫助浪浪的大家呢
198800	200500	可以透過兩個超級簡單的形式
200500	202300	來參加這個公益活動喔
202300	205500	首先第一種是即日起到1月11號
205500	206500	透過全家APP
206500	206700	透過全家APP
206700	210800	將您消費累積的點數捐贈給台灣動物緊急救援小組
210800	213000	第二種呢是即日起到1月11號
213000	217700	至全家店鋪麵包區購買點數做公益愛心限定款蛋糕
217700	221500	那全家這邊呢就會捐出同等值商品累積的點數
221500	225400	轉換為貓狗的糧食捐贈給台灣動物緊急救援小組
225400	228100	幫助可愛的毛孩們擁有穩定的糧食
228100	229800	那想要幫助他們的大家呢
229800	232600	記得要點開資訊欄看詳細的活動內容喔
232600	235200	現在的時間呢是11月16號
235200	235900	晚上
235900	236600	不是凌晨
236600	236700	不是凌晨
236700	238800	12點26分
238800	240900	因為走鐘獎得獎的關係
240900	242200	所以很多人就來說
242200	245400	我們是不是可以聊一集關於走鐘獎相關的事情
245400	246100	喔對啊
246100	248200	然後還遇到門口有時候遇到粉絲
248200	249600	就那天活動結束的時候就說
249600	251400	你們下禮拜是不是要聊走鐘獎
251400	253100	對我們有這麼好被大家猜透嗎
253100	253600	有嗎
253600	254500	是不是
254500	254900	沒有嘛
254900	256600	所以我們偏偏
256600	258600	這一集我們就不聊走鐘獎的事情
258600	259200	喔
259200	259700	怕了吧
259700	260500	我沒有做作業喔
260500	262300	怕了吧
262300	263100	我好怕
263100	264600	但是這個時候
264600	266100	在我說出這句話的時候
266100	266600	有另外
266600	268000	很大一部分人
268000	269000	就想說啊
269000	269700	我就知道
269700	270600	抓到了
270600	272800	我都知道你們一定會反其道而行
272800	274000	偏偏不聊走鐘獎
274000	274800	故意這樣
274800	275800	嘿
275800	277400	我們就聊走鐘獎
277400	279500	哈哈哈哈
279500	279900	有沒有
279900	281300	經過我這算操作
281300	284200	沒有人預料到我們要幹嘛
284200	285900	就算他原本覺得我們會聊走鐘獎
285900	287500	但是他想法路徑是錯的
287500	288500	對其實並沒有
288500	289000	對不是
289000	290100	喔我們已經道理全
290100	291500	其實我們是要假裝要聊
291500	292500	但是其實沒有要聊
292500	293500	但是還是要聊
293500	294200	對
294200	294800	嚇爆你
294800	295500	嚇爆你
295500	296200	喔很棒
296200	296500	好
296500	297300	結果很滿意
297300	299300	哈哈哈哈
299300	300000	好
300000	301300	如果真的要講這走鐘獎
301300	302800	這段時間發生這些事情
302800	303700	嗯
303700	305100	就必須先回到一個月以前
305100	307700	哈哈哈哈
307700	308300	好
308300	309700	好一個月以前呢
309700	310900	因為他他一直改嘛對不對
310900	312500	這次就是一波多折啦
312500	313400	對一波多折
313400	314400	他從原本
314400	315300	在半年前
315300	315700	對
315700	316500	有時候要舉辦
316500	316900	對
316900	318100	後來又說會變線上
318100	318500	嘿
318500	319700	後來又說要辦
319700	319900	嗯
319900	320500	這過程
320500	321900	這造成我非常大的困擾
321900	323600	你就一直介於一個
323600	324900	我到底要不要去減肥
324900	326200	哈哈哈
326200	327200	對我是一直介於一個
327200	328600	我到底要不要減肥的狀態
328600	329000	對
329000	330200	本來我已經下定決心了
330200	330600	嗯
330600	331800	然後突然說
331800	333100	準備要開始的時候
333100	334300	欸突然
334300	335100	改成線上
335100	335500	對
335500	336100	就覺得
336100	337600	欸沒關係只會落半個頭
337600	338700	對啊那就不用減了嘛
338700	339300	沒錯
339300	340600	突然又說
340600	341400	又要實體辦了
341400	341800	對
341800	342600	那是不是要減了
342600	344000	而且還說要走紅毯
344000	344800	對啊
344800	346500	糟糕了那個時候已經剩下
346500	347600	一個月
347600	348500	欸差不多差不多
348500	349700	最後通知的時間
349700	351000	所以大概從一個月之前開始
351000	351500	嘿
351500	352500	我跟翠翠說
352500	353900	不然我們來拍個片
353900	354300	喔
354300	354600	對啊
354600	356200	你說你要拍一個認真減肥的片
356200	357200	對對對我說
357200	358200	這種沒事就
358200	358900	就去減肥
358900	360500	我這個壓力不夠大
360500	361300	沒有動力
361300	362300	對我們要拍一支片
362300	363700	啊有一個完整的企劃
363700	364000	對
364000	364300	嗯
364300	365400	這樣子這樣我就是才有
365400	366500	就是緊迫心
366500	367900	感覺有人逼著你一定要做到
367900	368700	對我一定要把它拍出來
368700	368900	對對對
368900	369900	一定要把它做出來這樣子
369900	370300	對
370300	371400	所以我想說喔我們
371400	372600	有營養飾品宣嘛對不對
372600	373700	喔很適合
373700	374900	對我們就請大家擬一個
374900	376700	就是一個月的這個菜單幹嘛
376700	378700	然後開一個嚴格的課表
378700	380100	什麼按表操課這樣子
380100	380500	對對對
380500	382100	好像想必一個月的時間
382100	383900	應該是很夠瘦的吧
383900	385300	健康順利的減肥下來
385300	385800	沒錯
385800	386200	這樣子
386200	386500	嗯
386500	387600	但後來我一想
387600	389200	我覺得這個企劃
389200	390200	沒什麼吸引力
390200	391000	很弱
391000	391200	很弱
391200	392000	一個月減肥
392000	393300	吃得很健康清淡
393300	394300	這感覺誰都做得到
394300	394900	這廢話
394900	396300	感覺還沒看就知道會發生什麼事了
396300	396800	對
396800	398100	這減不下有鬼了
398100	398900	沒錯
398900	400300	減不下有鬼
400300	402800	太有自信了吧
402800	404100	所以我那時候就一直在思考
404100	404300	嗯
404300	405300	我就覺得這個企劃不好
405300	406000	不吸引人
406000	406400	嗯
406400	408100	所以我就想要怎麼改善這個企劃
408100	408600	沒錯
408600	409800	讓這個影片可以拍得更好
409800	410400	嘿嘿嘿
410400	411900	就這樣想著想著
411900	412500	過了兩週
412500	413600	哈哈哈哈
413600	415800	我覺得他根本就是在逃避
415800	416300	唉唷
416300	417100	來不及了
417100	417500	嗯
417500	419900	兩週這種正規的減肥企劃已經不行了
419900	420200	對
420200	420600	已經不行了
420600	421000	我想說
421000	422200	喔那我們來做個激進點
422200	423000	欸
423000	424000	我們就是
424000	425400	我想說我整個Google
425400	425600	欸
425600	426200	Google什麼
426200	427000	快速減肥
427000	428000	兩週快速減肥
428000	428600	對對對對對
428600	430400	上面一定很多那種網路的那種
430400	431200	農場文章嘛
431200	432600	廢文啊什麼之類的
432600	433400	叫你吃吃去
433400	434400	每天去跑三千啊
434400	435800	喔然後喝超級多水這樣
435800	436300	欸對啊
436300	438100	或者是叫你說一天要喝兩公升的油
438100	438600	喔這種的
438600	439500	兩公升的油
439500	440900	一種很極端的那種
440900	441200	對
441200	441800	我想說
441800	442600	欸這個好看的
442600	443400	喔這個好看
443400	443800	兩週
443800	445000	我就全部照著做
445000	445300	嘿
445300	445600	這樣子
445600	447000	阿看兩週可以瘦多少這樣子
