start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束erdem
30000	34460	這次他們想要跟大家報告的是他們即將在11月26號起
34460	36800	要在嘖嘖上開啟募資
36800	40960	那這是募資的內容是他們的日本銀杏二代原木砧板
40960	43860	砧板 對 砧板 二代 銀杏
43860	47500	就是我不知道大家有沒有看過我們很長期在影片裡面
47500	50020	只要用到砧板其實一直都是用他們家的
50020	52660	已經一陣子了 很久 一兩年有了吧
52660	54700	我們現在其實連桌子都是他們家的
54700	57180	辦公桌也全部都是他們家的東西
57180	60620	就是我們家平常在用一個大砧板跟一個小砧板
60620	61460	就是他們家的
61460	64800	然後很多人聽到原木砧板可能會覺得好像很重
64800	67100	那種傳統那種媽媽在剁雞那種有沒有
67100	70480	一個圓形那種很厚很厚那種無形木那種
70480	73380	他說但是他們家我真的覺得很特別
73380	75940	因為他們是銀杏的那個木頭嘛
75940	77840	所以它雖然厚度很夠
77840	79460	但我覺得很輕盈
79460	81320	就是整體拿起來不會讓人覺得
81320	84840	好像要拿吃奶力氣才辦得起來的那種砧板
84840	87160	對 這個我覺得應該是跟大家想像
87160	87740	不太一樣
87740	89840	而且重點是很漂亮
89840	91680	必須說他們的砧板真的很漂亮
91680	94400	然後他們是採用日本銀杏原木的新材製作
94400	97000	就是中間的地方 木頭中間的地方
97000	98320	所以它是密度比較高
98320	100120	然後富含油脂很耐震
100120	102480	所以你刀在切食材在剁的時候
102480	104360	它就可以吸收那個震動
104360	105960	然後可以降低你手腕震動
105960	107360	也比較不容易受傷
107360	109440	然後水分也比較不容易保留在砧板內
109440	112320	就可以達到耐浮不易變形的好處
112320	113840	那採用食品級的塗裝
113840	114720	所以大家不用麻煩
114720	116600	還要自己在家裡上油保養
116600	118160	他幫你保養好了
118160	119360	很耐用 沒錯
119360	121200	所以這樣你的砧板就可以很好保存
121200	124040	你只要搭配那種專用的直立的架子
124040	127520	砧板架就可以讓它晾乾不會發霉
127520	129280	很多人應該用原木就是怕發霉
129280	130880	我們確實用到現在還沒有發霉
130880	133200	對 然後其實刀痕也還好
133200	136120	就是用到很久之後才開始感覺好像有一點刀痕
136120	137320	而且我們並沒有像她說的
137320	138880	怎麼把它晾乾殺灰
138880	140000	我們就把它丟在旁邊
140000	142000	吸油就把它整疊疊起來
142000	144880	對 直接疊在我們的櫃子裡
144880	146600	對 但它至今仍然好好的
146600	150800	喔 我仔細想想還不錯
150800	153080	那我們現在用的就是一代砧板
153080	154160	就是他們第一代
154160	156160	然後一代砧板之後他們收到蠻多回饋的
156160	157800	所以他們這次二代砧板主打
157800	160520	就是他們的尺寸有再加大一點
160520	162960	就是面積變更大更好切裁
162960	165080	就是變成30x45公分
165080	166760	然後讓大家就是切裁的時候很方便
166760	168160	你的範圍很夠
168160	170960	然後另外就是他們厚度也增加了1.5公分
170960	172120	變厚了
