start	end	text
0	30000	哈囉 歡迎來到好味小姐開束
30000	60000	
60000	62000	因為這次是要做奶茶粉
62000	64000	那是我原本就會喝的東西
64000	66000	像他前一個產品出什麼果乾水
66000	68000	我就沒什麼興趣
68000	69000	就出奶茶包
69000	72000	我有感覺到你在參與這個企劃討論的時候特別用心
72000	75000	在開發的部分我參與的比較深入一點
75000	76000	我跟品萱
76000	78000	我們在開發的時候一直都是站在一個
78000	80000	我們要做就要做極端
80000	82000	我們就不加糖嘛
82000	83000	我們就不要加糖
83000	85000	我們就真的都不加
85000	87000	然後我們兩個喝的時候就覺得說還行啊
87000	88000	因為其實那個
88000	91000	就我們微微奶茶除了不加糖以外
91000	93000	我們裡面還沒有加奶精
93000	95000	我們是使用天然的奶粉
95000	97000	來取代奶精這個
97000	99000	奶精裡面其實是沒有糖
99000	101000	但是天然的奶粉它裡面本來就有一些乳糖
101000	102000	所以其實
102000	104000	我覺得喝起來就有一點點
104000	105000	微微的微甜
105000	107000	它的甜度絕對不是像砂糖那個甜
107000	108000	但是有一點點
108000	111000	就是你喝的時候會感覺到有點甘甘的感覺
111000	113000	我跟品萱覺得那個就夠了
113000	114000	那就可以了
114000	116000	其實你們有給我試喝我也覺得可以
116000	118000	然後因為我們辦公室
118000	119000	很多都是二十幾歲的妹妹嘛
119000	120000	對
120000	122000	拿完樣品我們就給他們喝喝看
122000	123000	很有信心
123000	124000	很有自信
124000	126000	就說茶好喝你們喝
126000	128000	茶香濃郁奶香醇厚
128000	129000	沒錯
129000	130000	喝喝看
130000	131000	看每個都大便臉
131000	133000	每個都咳嗽結冰
133000	136000	他們就是那種手搖杯都要點半糖的人
136000	137000	對他們就完全沒辦法接受
137000	138000	沒錯
138000	139000	最後
139000	140000	迫於現實
140000	141000	一個折衷
141000	142000	一個妥協
142000	143000	所以我們最後
143000	146000	為了避免被封為史上最難喝奶茶
146000	147000	對所以我們每一包呢
147000	148000	就是
148000	149000	我們裡面有十包奶茶
149000	150000	對
150000	152000	我們就會再附十包糖包
152000	153000	對對對
153000	154000	那那個糖包呢
154000	156000	我們的量也是經過計算
156000	157000	就是加下去呢
157000	158000	剛好是讓你覺得說
158000	160000	好像有一點點甜甜的感覺
160000	161000	對對對
161000	163000	對我們那些妹妹來說就是一個
163000	164000	喔有甜喔
164000	165000	好像還行
165000	166000	達到低標這樣
166000	167000	然後呢我們做了四個口味
167000	169000	就是鐵觀音
169000	170000	志瑞壇紅茶
170000	171000	抹茶
171000	172000	跟
172000	173000	南非國寶茶
173000	174000	南非國寶茶呢
174000	175000	是算裡面
175000	177000	我覺得應該是最清爽最清淡的
177000	178000	我覺得四個裡面
178000	180000	我意外的特別喜歡這個口味
180000	181000	就南非國寶茶
181000	183000	它本來它的色味就沒有那麼重
183000	184000	對
184000	185000	然後它有一個特殊的風味
185000	186000	一個特殊的香氣
186000	187000	然後它是無咖啡因的
187000	188000	所以適合孕婦啊
188000	189000	或是小孩
189000	190000	小朋友啊
190000	191000	都沒有問題
191000	192000	然後我個人呢
192000	193000	我是比較喜歡這個
193000	194000	真的比較喜歡鐵觀音
194000	195000	鐵觀音是裡面的一個
195000	196000	味道比較濃厚的
196000	198000	有一股炭燒的香味
198000	199000	對對對
199000	200000	我覺得就是那種
200000	201000	很多人會喜歡喝咖啡
201000	203000	喜歡那種茶的苦香苦香的味道
203000	204000	對對對
204000	205000	但是實話實說
205000	206000	鐵觀音
206000	207000	我自己也沒辦法喝無糖
209000	210000	因為它的茶味
210000	211000	是屬於比較濃厚的
211000	213000	但品萱真的都喝無糖耶
213000	214000	對
214000	215000	她真的很厲害
215000	216000	她真的很厲害
216000	217000	她真的不能靠自己
217000	218000	跟開發產品
218000	219000	沒有人會喜歡
219000	220000	對
220000	221000	然後這次
221000	223000	隨著這個微微奶茶的推出
223000	224000	我們在價格上
224000	225000	也做了一點點的調整
225000	226000	就是說我們過去呢
226000	227000	可能是你要湊很多很多
227000	229000	才可以有團購的折扣嘛
229000	230000	因為我們之前的產品
230000	231000	品相很少
231000	232000	對對對
232000	233000	所以我們希望說
233000	234000	大家一起團購
234000	235000	同一種多買一點
235000	236000	對對對
236000	237000	這樣我們包貨比較方便
238000	239000	所以我們會給一個團購的優惠
239000	240000	沒錯
240000	241000	就是買一千二會打九折
241000	242000	之類的
242000	243000	對對對
