start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束厲
30000	60000	厲
60000	63600	魚丸 貓羅宋湯 跟這個虎斑龍湯
63600	64100	好
64100	65700	好 特別講一下這個山花魚丸
65700	67400	欸 我也正想說
67400	68100	還蠻特殊的
68100	68500	對
68500	72700	山花魚丸 它魚丸呢 是用鱸魚 白蝦 跟雞胸肉混合製成
72700	74500	對 然後那個魚丸沒有很大顆
74500	76700	剛剛好像說貓咪可以咬的大小
76700	79600	對對對 就是貓咪可以把它咬碎 分個兩三口這樣子
79600	80200	嘿嘿嘿
80200	83400	然後除了魚丸 它那個湯裡面 還有加蟹腳跟干貝
83400	83800	嘿
83800	85500	所以整個味道非常的香濃
85500	86700	鮮味很夠
86700	88300	再加一點這個海帶芽
88300	88800	嘿
88800	90800	所以就是那個魚丸 白色嘛
90800	91400	嗯嗯
91400	92800	然後龍湯是南瓜底
92800	93300	對
93300	94000	就是一個
94000	95100	黃色的 虛黃色
95100	97300	然後再加上這個海帶芽
97300	97600	黑色
97600	98600	有點黑色
98600	100100	所以加起來是山花龍湯
100100	102200	你看我們為了要把米香呈現出來
102200	102600	都拼了
102600	104400	沒錯 都拼了
104400	105100	什麼都加
105100	108100	米香真的很難出現在我們的各種東西上面
108100	109100	沒錯沒錯
109100	110900	欸 其實年菜我們原本沒有期待說
110900	114000	大家會有回購 或是會有什麼評價出現
114000	116600	因為很多人在這次跨年都忍不住開了
116600	117300	對對對
117300	118100	所以我們反而
118100	118800	收到了一些
118800	119500	評價
119500	121200	而且很多限動都有tag我們
121200	121600	欸 對
121600	122900	然後大家都覺得很不錯
122900	124100	那貓肉市很開心
124100	124600	沒錯
124600	127600	那我們這次的那個購買時間已經快結束了
127600	128800	因為馬上就要過年了嘛
128800	130100	剩大概二十天吧
130100	131000	欸 二十天不到了
131000	131800	對對對
131800	133400	所以大家如果你還在觀望的
133400	135400	這幾天看限動很心動的
135400	135800	嘿
135800	136600	你要趕快搶
136600	137500	有嘛 要快
137500	138800	會搶不贏 應該是快要沒有了
138800	140000	應該是快要沒有了
140000	140400	對
140400	142400	一個不小心就被惡購的人買完囉
142400	143600	喔 會回購人
143600	143900	對
143900	145200	好興奮喔
145200	147800	好 那我們這次這個好味貓年菜的詳細資訊呢
147800	148500	我們也會放在
148500	149300	資訊欄裡面
149300	151300	所以心動的人趕快去看喔
151300	153500	好 現在時間2022年
153500	154200	嗯哼
154200	155200	新的一年的第一集
155200	156400	1月4號
156400	156800	喔
156800	157500	第一路
157500	158200	第一路
158200	159000	3點
159000	160600	超級晚
160600	162200	超級晚
162200	164000	因為剛剛兩位忍心在睡覺
164000	165700	因為我們早上錄了一支很累的片
165700	167000	拍很久的片
167000	167500	拍很久的片
167500	168600	所以現在實在累到不行了
168600	169400	就去睡了一下
169400	171200	然後現在終於大氣精神
171200	172700	要來好好工作了
172700	174200	喔 我們上禮拜講到了這個
174200	174700	嗯哼
174700	175700	今年的新年新希望
175700	176700	新年新希望
176700	177500	喔
177500	178400	只有你許完願了
178400	179100	其實
179100	179700	對
179700	180700	然後此時此刻呢
180700	181200	嗯哼
181200	182600	我好像就有一個新年新希望
182600	183000	已經失敗了
183000	185000	失敗了
185000	186100	你說你
186100	188000	1月1號要幹嘛
188000	189100	我後來還想到
189100	190000	因為我一直記得說
190000	191200	我的整個大原則就是
191200	192500	我許一個時間
192500	192900	嗯
192900	193300	1月
193300	194500	然後做一件小事情
194500	195200	Yes
195200	196100	結果那時候是
196100	197400	應該是你突然插進來吧
197400	199500	我跟你說要訂細節啊
199500	200100	對啊
200100	201300	對啊 為什麼要訂細節
201300	203100	因為要訂細節才真的會去執行啊
203100	204700	你放屁這不就失敗了嗎
204700	206200	沒有給它轉圜的餘地
206200	207000	對啊
207000	207900	所以那時候就說什麼
207900	208400	1月1號
208400	209900	下午4點要去騎飛輪
209900	210400	對啊
210400	211700	去騎一個小時啊
211700	213400	根本完全沒有想起這件事情啊
213400	214600	說實在的
214600	216100	我是不是剛剛在解留言的時候
216100	216800	才想到你
216800	218000	不是
218000	218800	他剛才跟我說
218800	220300	欸 你好像說1月1號要去騎飛輪
220300	220900	對
220900	221300	什麼
221300	221900	他還跟我說
221900	223000	蛤 不是1月嗎
223000	223400	我說不
223400	224300	你後來加了
224300	225800	是1月1號
225800	227100	所以新年的第二工作天
227100	228700	我的第一個這個
228700	230600	新年新希望已經宣告失敗
230600	231700	今年已經結束了
231700	234300	我們2023年再見
234300	235800	沒有 我覺得這個
235800	237200	替我們敲響了一個警鐘
237200	238400	細節不要聽這麼多
238400	239800	對 這個方法是錯誤的
239800	240800	好 OK OK
240800	243200	你不能給這一點緩衝的時間都沒有
243200	244700	這基本上是註定要失敗
244700	246700	失敗以後你就想說反正都失敗了
246700	248800	我怎麼會忘記前一年的教訓呢
248800	250000	我們前一年的結論就是
250000	251700	不管你打算要做什麼
251700	254000	都不應該在1月1號做
254000	254400	對
254400	255500	因為1月1號放假啊
255500	256100	對
256100	257100	1月1號是最廢的一天
257100	258700	你去年許願的時候有說過耶
258700	259300	對啊
259300	261100	然後上禮拜我們錄Podcast的時候
261100	261600	我們不就說
261600	264000	欸 葛瑋帆你今年都沒有得A流耶
264000	264500	對啊
264500	265000	這個感覺
265000	266400	好像今年要順順利利的過了
266400	266900	對
266900	268100	然後他那時候就說
268400	269400	話不要說得太早
269400	270300	話不要說太早
270300	271800	因為我那時候覺得身體不太妙
273400	274200	結果隔天
274200	275700	我們一關麥克風他就說
275700	277500	我覺得頭暈暈的
277500	279300	我就說你是不是心理作用啊
279300	280400	自己在那邊以為說
280400	282000	你怎麼樣又要生病了什麼之類的
282000	282400	沒有沒有沒有
282400	284500	他那時候就說他覺得他有點夯夯的
284500	284900	對對對
284900	286000	然後他就去量了體溫
286000	286300	嗯
286300	287100	我就發現欸
287100	288200	微微的發燒
