start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束cipher
30000	30800	喔 你自己嗎
30800	31700	今天是my day
31700	32700	你說你本人的部分嗎
32700	33200	喔
33900	34900	今天是my day啊
34900	35500	欸沒有欸
35500	36700	其實昨天才是your day
36700	37200	蛤
37200	37900	已經過了
37900	38900	時機已經錯過了
38900	39600	欸 對
39600	40500	早就撤回了
40500	41100	我不管啦
41100	41700	反正大家禮拜
41700	43400	本來就不管怎麼樣都是禮拜二才會聽到
43400	44300	怎麼一樣
44300	45900	反正我今天就是在留言看到超多
45900	47700	就是祝福我生日的留言
47700	48600	欸 對 感謝大家
48600	49400	愛你們
49400	51200	那我這次要怎麼業配我自己呢
51200	52500	就是我們上禮拜
52500	53400	欸 是上禮拜嗎
53400	55400	在podcast裡面講到說我們要來
55400	56100	日跟那個
56100	56800	不是上禮拜
56800	58000	應該是上上禮拜
58000	58400	上上嗎
58400	59900	喔 我們今天遲了這麼久嗎
59900	60400	沒錯
60400	61900	Oh my god 許下了一個承諾
61900	62200	對
62200	63500	但是我們真的有執行
63500	64000	喔
64000	65600	反正就是我們上上禮拜
65600	66700	在podcast裡面
66700	68700	就是說我要每天開始日跟
68700	71700	我們家世界無敵可愛夢夢的日常
71700	72300	的影片
72300	72700	的影片
72700	73300	重點是影片
73300	74900	對 然後因為在IG上面
74900	76800	就是他的影片大概是一分鐘
76800	77000	嗯
77000	78700	就不會變成一個什麼TV那個嘛
78700	80500	所以我們就每天抓在一分鐘
80500	81800	然後我發現
81800	84400	認真開始觀察夢夢的生活之後
84400	86600	我女兒怎麼可以這麼可愛啊
86600	87300	蛤
87300	88500	天啊
88500	89900	我最近怎麼就會看著她臉
89900	91100	發呆
91100	92800	我女兒怎麼這麼可愛啊
92800	93900	就那個時候我們講的時候
93900	95200	大家可能以為是在那個
95200	96400	好味小姐的IG
96400	97000	嗯
97000	97700	其實沒有
97700	99300	好味小姐的IG就是
99300	100000	貓的IG
100000	101000	認真曬貓
101000	101300	對
101300	102600	所以陳翠蘭她要更新的這個呢
102600	104000	是在她自己的IG
104000	105000	對 在我自己的IG
105000	106700	啊 本來自己IG的名字是一個什麼
106700	107600	自己開頭的
107600	109000	就是翠安城的英文
109000	110200	對 沒有人知道那是什麼玩意
110200	111100	對 然後你就說
111100	112400	你這樣誰也搜尋得到啊
112400	113200	欸 沒錯
113200	114800	所以她現在的那個IG改成
114800	115600	Lady Forever
115600	117100	然後一個底線
117100	118000	CUI
118000	119100	就是翠的意思
119100	119700	我覺得超恥的
119700	121000	我一點都不想要在我的名字前面
121000	123100	冠名Lady Forever
123100	124700	不行 這樣大家才找得到
124700	125500	這個感覺就
125500	126600	很業務你知道嗎
126600	128400	因為你知道優惠帆她的LINE
128400	130300	上面也是寫好味小姐底線
130300	131900	然後優惠帆
131900	132400	我覺得超蠢的 不是啊
132400	133600	因為這是沒有辦法
133600	134500	蛤 為什麼
134500	136400	因為我要跟很多廠商溝通
136400	137000	喔
137000	138600	讓廠商找得到我
138600	139200	對啊
139200	140400	我每次要傳LINE給她的時候
140400	142800	我都覺得我們倆好疏離喔
142800	143600	確實是這樣子
143600	144000	對啊
144000	144900	業務型的LINE
144900	145300	對啊
145300	146100	但是你這個IG
146100	147200	你必須要這樣你知道嗎
147200	147800	是嗎
147800	149200	因為你要更新這個東西耶
149200	149600	嗯
149600	150400	所以你要剪耶
150400	151100	幹嘛有的沒的
151100	151700	還要拍
151700	152000	嗯
152000	154000	啊你放上去之後沒有人看的話
154000	154800	會很難過
154800	156100	對 會很悲哀
156100	156800	對啊
156800	159000	你可以辦第二個IG了
159000	160200	喔 你說私人IG嗎
160200	161700	其實它還有另外一個私人IG
161700	162500	蛤
162500	163100	你閉嘴
163100	164400	哇 她沒有加我
164400	165400	我也沒有加她
165400	165600	對啊
165600	166700	你們倆都不在裡面
166700	168200	但是專屬於我閨蜜的IG
168200	169700	我有很多不想讓你們知道的事
169700	170100	喔
170100	171100	這樣喔
171100	172900	對 總而言之它現在更新在
172900	174300	就是翠翠的她自己的
174300	175800	私人的IG裡面
175800	176200	沒錯
176200	177600	然後我們已經做了幾集啊
177600	177900	哇 我們已經
177900	179300	已經十幾天了吧
179300	179600	十幾天
179600	180100	十四
180100	181000	剛好兩個禮拜
181000	182800	唉唷 真的好優秀喔
182800	183200	哭了
183200	184300	我睡了好久喔
184300	184700	週末的嗎
184700	186100	即將面臨大敵
186100	186800	要過年
186800	187400	啊 過年
187400	188400	沒關係 過年我們
188400	189900	理論上應該是有辦法堅持
189900	191900	我們有想到一個方法來解決
191900	193500	我回娘家這件事情
193500	193800	對
193800	194100	嗯
194100	195200	好 如果撐過過年
195200	196600	應該這一年都會更新了吧
196600	197200	不一定
197200	198400	其實我不擔心過年
198400	198800	是嗎
198800	199800	因為我到現在我都還沒有想到
199800	201500	過年到底九天要做什麼事情
201500	201900	嗯
201900	202700	所以我可能就一整天
202700	203700	就是忙這一件事
203700	204300	呵呵呵
204300	205400	喔 那也不錯啊
205400	206100	所以說
206100	207000	如果有人
207000	209300	覺得雷夢也是這個宇宙上
209600	211400	最可愛的生物的話
211400	213000	可以去我的IG看
213000	214900	我覺得沒有那麼誇張
214900	216000	沒有那麼誇張
216000	216300	但是我
216300	217000	有啦
217000	217900	我必須老實說
217900	219000	就是我自己
219000	219400	嗯
219400	220500	就是我剪了之後呢
220500	221900	別人看得怎麼樣我不曉得
221900	222300	嗯
222300	224400	但是我自己是看得蠻開心的
224400	225000	然後
225000	226500	然後雷夢也看得很開心
226500	227800	雷夢真的超自戀的欸
227800	229500	他超喜歡看自己的影片的欸
229500	230800	對 而且現在越來越長了對不對
230800	231100	嗯
231100	232300	越來越長的時候比較好一點
232300	233400	因為之前我們剛開始
233400	234400	只有一兩隻的時候
234400	234800	嗯
234800	235300	然後他就
235300	236800	一直loop從同一集
236800	237800	對 他就看那兩集
237800	238000	對
238000	239400	看著自己 看著笑呵呵
239400	239600	對
239600	240700	好 總而言之
240700	241700	我這次就要來業配
241700	243200	我自己的IG就對了
243200	243400	嗯
243400	244700	好 大家記得去搜尋
244700	246600	LadyFlavor底線醉
