start	end	text
0	8500	哈囉 大家好 歡迎來到好味小姐
8500	9500	欸 等一下
9500	10500	我不好意思
10500	11500	幹嘛失憶啊
11500	14500	因為我心裡在想我們等一下贊助成色的名字
14500	16000	sorry sorry
16000	17500	欸 我們叫什麼啊
17500	19500	我們叫什麼 你猜啊 你猜猜看
19500	20500	等一下 等一下
20500	21500	我腦子裡裝來的東西
21500	23500	你是好味小姐嘛 所以肯定有好味小姐吧
23500	24000	對
24000	25000	還是其實沒有
25000	27000	我想到了啊 你很煩
27000	30000	歡迎來到好味小姐開束服務
30000	32000	還你原型 我是翠翠
32000	33000	對 你是翠翠
33000	34000	很煩欸
34000	35000	欸 我剛剛真的失憶欸
35000	36000	她進步很多欸
36000	38000	已經比前幾個月進步很好了
38000	39000	恢復得很棒
39000	42000	奶奶以後慢慢可以認得出孫子的名字
44000	46000	我女兒叫什麼
46000	47000	好啦
47000	48000	大家好 我是剪輯師阿端
48000	49000	大家好 我是剪輯師很煩
49000	50000	煩欸
50000	53000	好啦 本集節目由好味營養師品萱
53000	56000	初春抹茶劑贊助播出
56000	58000	我剛剛就一直腦子在想這個
58000	59000	怕我自己會唸錯
59000	60000	真的
60000	62000	因為你說好味這兩個字重疊
62000	64000	對 然後我後面就很想要唸品萱
64000	67000	但是你知道她的品牌其實沒有好味兩個字嗎
67000	68000	欸 沒有嗎
68000	70000	沒有啊 她是好味營養師品萱
70000	71000	不要這麼強求
71000	73000	奶奶還在恢復中
73000	74000	這些細節
74000	76000	有記到不錯了
76000	77000	鼓勵代替責備
77000	78000	對
78000	79000	這樣我才會成長
79000	80000	通常是只記得一個品
80000	81000	後面都想不出來什麼
81000	82000	啊 那個誰 那個品 那個品
82000	84000	然後又要從頭叫到尾
84000	86000	然後還說是不是叫品花
86000	89000	好啦 品萱的初春抹茶劑啦
89000	90000	我們是春天嘛
90000	93000	其實各大超商都會開始跑抹茶劑
93000	95000	對 這個時候就很多人都會就是一些
95000	97000	櫻花配綠葉的那種照片跑出來
97000	99000	我們怕到時候大家就吃膩了
99000	103000	所以我們是初春抹茶劑
103000	105000	搶先中人先開跑
105000	107000	所以現在就是只要在營養師品萱
107000	108000	她的官網上面
108000	110000	只要買任何東西有抹茶口味的
110000	113000	只要購入直接免運
113000	114000	很有誠意吧
114000	115000	真的
115000	117000	我知道那時候聽你們在講這件事情的提案的時候
117000	118000	我覺得超心動的耶
118000	119000	喔 真的喔
119000	120000	對啊 我覺得很棒耶
120000	122000	對 我們那個營養師品萱整個品牌裡面
122000	124000	抹茶類的商品大概有
124000	125000	兩種
127000	128000	琳瑯滿目
128000	129000	琳瑯滿目
129000	131000	就是寶米花抹茶口味
131000	132000	跟這個
132000	133000	奶茶
133000	134000	抹茶口味
134000	136000	我們那個寶米花抹茶口味不知道大家有沒有吃過
136000	138000	它其實吃起來是
138000	140000	鹹甜口的喔
140000	142000	對 就是有點鹹香鹹香的
142000	143000	不是全部甜喔
143000	145000	我覺得其實滿特殊滿順口的
145000	147000	應該是很多人會誤會吧
147000	148000	誤會說
148000	149000	那種
149000	150000	不會吧
150000	151000	因為誤會是很苦的那種
151000	152000	很苦的那種吧
152000	154000	鹹甜口的
154000	155000	滿特別的
